Year Drafted,Player,Rk,Player Link
2006,Leon Powe,49,/players/p/powele01.html
2006,Ryan Hollins,50,/players/h/holliry01.html
2006,Cheikh Samb,51,/players/s/sambch01.html
2006,Guillermo Díaz,52,/players/d/diazgu01.html
2006,Yotam Halperin,53,/players/h/halpeyo01.html
2006,Hassan Adams,54,/players/a/adamsha01.html
2006,Ejike Ugboaja,55,/players/u/ugboaej01.html
2006,Edin Bavčić,56,/players/b/bavcied01.html
2006,Loukas Mavrokefalidis,57,/players/m/mavrolo01.html
2006,J.R. Pinnock,58,/players/p/pinnojr01.html
2006,Damir Markota,59,/players/m/markoda01.html
2006,Will Blalock,60,/players/b/blalowi01.html
2007,Greg Oden,1,/players/o/odengr01.html
2007,Kevin Durant,2,/players/d/duranke01.html
2007,Al Horford,3,/players/h/horfoal01.html
2007,Mike Conley,4,/players/c/conlemi01.html
2007,Jeff Green,5,/players/g/greenje02.html
2007,Yi Jianlian,6,/players/j/jianlyi01.html
2007,Corey Brewer,7,/players/b/breweco01.html
2007,Brandan Wright,8,/players/w/wrighbr03.html
2007,Joakim Noah,9,/players/n/noahjo01.html
2007,Spencer Hawes,10,/players/h/hawessp01.html
2007,Acie Law,11,/players/l/lawac01.html
2007,Thaddeus Young,12,/players/y/youngth01.html
2007,Julian Wright,13,/players/w/wrighju01.html
2007,Al Thornton,14,/players/t/thornal01.html
2007,Rodney Stuckey,15,/players/s/stuckro01.html
2007,Nick Young,16,/players/y/youngni01.html
2007,Sean Williams,17,/players/w/willise01.html
2007,Marco Belinelli,18,/players/b/belinma01.html
2007,Javaris Crittenton,19,/players/c/crittja01.html
2007,Jason Smith,20,/players/s/smithja02.html
2007,Daequan Cook,21,/players/c/cookda02.html
2007,Jared Dudley,22,/players/d/dudleja01.html
2007,Wilson Chandler,23,/players/c/chandwi01.html
2007,Rudy Fernández,24,/players/f/fernaru01.html
2007,Morris Almond,25,/players/a/almonmo01.html
2007,Aaron Brooks,26,/players/b/brookaa01.html
2007,Arron Afflalo,27,/players/a/afflaar01.html
2007,Tiago Splitter,28,/players/s/splitti01.html
2007,Alando Tucker,29,/players/t/tuckeal02.html
2007,Petteri Koponen,30,/players/k/koponpe01.html
2007,Carl Landry,31,/players/l/landrca01.html
2007,Gabe Pruitt,32,/players/p/pruitga01.html
2007,Marcus Williams,33,/players/w/willima04.html
2007,Nick Fazekas,34,/players/f/fazekni01.html
2007,Glen Davis,35,/players/d/davisgl01.html
2007,Jermareo Davidson,36,/players/d/davidje01.html
2007,Josh McRoberts,37,/players/m/mcrobjo01.html
2007,Kyrylo Fesenko,38,/players/f/fesenky01.html
2007,Stanko Barać,39,/players/b/baracst01.html
2007,Sun Yue,40,/players/y/yuesu01.html
2007,Chris Richard,41,/players/r/richach01.html
2007,Derrick Byars,42,/players/b/byarsde01.html
2007,Adam Haluska,43,/players/h/halusad02.html
2007,Reyshawn Terry,44,/players/t/terryre01.html
2007,Jared Jordan,45,/players/j/jordaja01.html
2007,Stéphane Lasme,46,/players/l/lasmest01.html
2007,Dominic McGuire,47,/players/m/mcguido01.html
2007,Marc Gasol,48,/players/g/gasolma01.html
2007,Aaron Gray,49,/players/g/grayaa01.html
2007,Renaldas Seibutis,50,/players/s/seibure01.html
2007,JamesOn Curry,51,/players/c/curryja01.html
2007,Taurean Green,52,/players/g/greenta01.html
2007,Demetris Nichols,53,/players/n/nichode01.html
2007,Brad Newley,54,/players/n/newlebr01.html
2007,Herbert Hill,55,/players/h/hillhe02.html
2007,Ramon Sessions,56,/players/s/sessira01.html
2007,Sammy Mejia,57,/players/m/mejiasa01.html
2007,Georgios Printezis,58,/players/p/printgi01.html
2007,D.J. Strawberry,59,/players/s/strawdj01.html
2007,Milovan Raković,60,/players/r/rakovmi01.html
2008,Derrick Rose,1,/players/r/rosede01.html
2008,Michael Beasley,2,/players/b/beaslmi01.html
2008,O.J. Mayo,3,/players/m/mayooj01.html
2008,Russell Westbrook,4,/players/w/westbru01.html
2008,Kevin Love,5,/players/l/loveke01.html
2008,Danilo Gallinari,6,/players/g/gallida01.html
2008,Eric Gordon,7,/players/g/gordoer01.html
2008,Joe Alexander,8,/players/a/alexajo01.html
2008,D.J. Augustin,9,/players/a/augusdj01.html
2008,Brook Lopez,10,/players/l/lopezbr01.html
2008,Jerryd Bayless,11,/players/b/bayleje01.html
2008,Jason Thompson,12,/players/t/thompja02.html
2008,Brandon Rush,13,/players/r/rushbr01.html
2008,Anthony Randolph,14,/players/r/randoan01.html
2008,Robin Lopez,15,/players/l/lopezro01.html
2008,Marreese Speights,16,/players/s/speigma01.html
2008,Roy Hibbert,17,/players/h/hibbero01.html
2008,JaVale McGee,18,/players/m/mcgeeja01.html
2008,J.J. Hickson,19,/players/h/hicksjj01.html
2008,Alexis Ajinça,20,/players/a/ajincal01.html
2008,Ryan Anderson,21,/players/a/anderry01.html
2008,Courtney Lee,22,/players/l/leeco01.html
2008,Kosta Koufos,23,/players/k/koufoko01.html
2008,Serge Ibaka,24,/players/i/ibakase01.html
2008,Nicolas Batum,25,/players/b/batumni01.html
2008,George Hill,26,/players/h/hillge01.html
2008,Darrell Arthur,27,/players/a/arthuda01.html
2008,Donté Greene,28,/players/g/greendo01.html
2008,D.J. White,29,/players/w/whitedj01.html
2008,J.R. Giddens,30,/players/g/giddejr01.html
2008,Nikola Peković,31,/players/p/pekovni01.html
2008,Walter Sharpe,32,/players/s/sharpwa01.html
2008,Joey Dorsey,33,/players/d/dorsejo01.html
2008,Mario Chalmers,34,/players/c/chalmma01.html
2008,DeAndre Jordan,35,/players/j/jordade01.html
2008,Ömer Aşık,36,/players/a/asikom01.html
2008,Luc Mbah a Moute,37,/players/m/mbahalu01.html
2008,Kyle Weaver,38,/players/w/weaveky01.html
2008,Sonny Weems,39,/players/w/weemsso01.html
2008,Chris Douglas-Roberts,40,/players/d/douglch01.html
2008,Nathan Jawai,41,/players/j/jawaina01.html
2008,Sean Singletary,42,/players/s/singlse01.html
2008,Patrick Ewing,43,/players/e/ewingpa02.html
2008,Ante Tomić,44,/players/t/tomican01.html
2008,Goran Dragić,45,/players/d/dragigo01.html
2008,Trent Plaisted,46,/players/p/plaistr02.html
2008,Henry Walker,47,/players/w/walkebi01.html
2008,Malik Hairston,48,/players/h/hairsma01.html
2008,Richard Hendrix,49,/players/h/hendrri02.html
2008,DeVon Hardin,50,/players/h/hardide01.html
2008,Shan Foster,51,/players/f/fostesh01.html
2008,Darnell Jackson,52,/players/j/jacksda01.html
2008,Tadija Dragićević,53,/players/d/dragita01.html
2008,Maarty Leunen,54,/players/l/leunema01.html
2008,Mike Taylor,55,/players/t/taylomi01.html
2008,Sasha Kaun,56,/players/k/kaunsa01.html
2008,James Gist,57,/players/g/gistja01.html
2008,Joe Crawford,58,/players/c/crawfjo01.html
2008,Deron Washington,59,/players/w/washide02.html
2008,Semih Erden,60,/players/e/erdense01.html
2009,Blake Griffin,1,/players/g/griffbl01.html
2009,Hasheem Thabeet,2,/players/t/thabeha01.html
